,7m,8m,9m,10m,11m,12m,now,stock
,82.00,369.00,246.00,60.00,204.00,14.00,165.00,
,0.00,0.00,0.00,0.00,0.00,0.00,-14.00,
,466.00,461.00,522.00,541.00,424.00,450.00,421.00,
,14.00,0.00,30.00,0.00,30.00,14.00,226.00,
,134.00,0.00,0.00,90.00,0.00,14.00,341.00,
,30.00,181.00,37.00,120.00,90.00,260.00,267.00,
,58.00,210.00,285.00,120.00,30.00,30.00,268.00,
,0.00,0.00,0.00,0.00,365.00,0.00,35.00,
,0.00,0.00,0.00,0.00,365.00,0.00,35.00,
,0.00,0.00,0.00,0.00,35.00,0.00,65.00,
,30.00,28.00,28.00,28.00,28.00,28.00,28.00,
,0.00,7.00,178.00,106.00,70.00,7.00,289.00,
,47.00,171.00,286.00,115.00,177.00,112.00,88.00,
,10.00,3.00,6.00,11.00,7.00,6.00,4.00,
,30.00,120.00,30.00,30.00,32.00,120.00,220.00,
,60.00,0.00,0.00,60.00,0.00,60.00,729.00,
,0.00,10.00,0.00,0.00,0.00,0.00,20.00,
,21.00,0.00,65.00,0.00,27.00,0.00,335.00,
,30.00,60.00,0.00,0.00,0.00,0.00,90.00,
,90.00,60.00,30.00,30.00,40.00,0.00,140.00,
,93.00,194.50,208.00,182.00,157.00,60.00,199.50,
,0.00,0.00,30.00,30.00,31.00,31.00,191.00,
,0.00,150.00,90.00,60.00,14.00,60.00,136.00,
,60.00,0.00,30.00,0.00,0.00,210.00,300.00,
,150.00,0.00,60.00,14.00,240.00,44.00,182.00,
,0.00,30.00,67.00,0.00,0.00,0.00,143.00,
,165.00,18.00,9.00,63.00,87.00,63.00,275.00,
,5.00,5.00,8.00,4.00,8.00,9.00,11.00,
,146.00,180.00,146.00,90.00,180.00,180.00,278.00,
,66.00,58.00,78.00,254.00,154.00,84.00,188.00,
,"1,112.00","1,296.00","1,386.00",971.00,"1,342.00","1,234.00",881.00,
,"1,216.00","1,621.00","1,515.00","1,384.00","1,216.00","1,041.00","1,215.00",
,28.00,90.00,28.00,28.00,60.00,21.00,440.00,
,0.00,0.00,0.00,90.00,0.00,0.00,0.00,
,120.00,120.00,135.00,129.00,120.00,120.00,75.00,
,38.00,51.00,32.00,11.00,30.00,48.00,92.00,
,0.00,0.00,7.00,12.00,14.00,44.00,103.00,
,0.00,0.00,0.00,0.00,30.00,60.00,90.00,
,0.00,0.00,0.00,0.00,0.00,1.00,1.00,
,78.00,96.00,300.00,81.00,18.00,78.00,205.00,
,383.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,10.00,0.00,80.00,
,0.00,0.00,30.00,90.00,0.00,30.00,60.00,
,0.00,0.00,0.00,0.00,0.00,0.00,170.00,
,0.00,0.00,0.00,0.00,10.00,60.00,120.00,
,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,0.00,0.00,120.00,
,0.00,0.00,6.00,0.00,0.00,0.00,94.00,
,413.00,298.00,680.50,396.00,484.00,210.00,260.00,
,0.00,0.00,0.00,0.00,0.00,4.00,4.00,
,0.00,0.00,0.00,0.00,0.00,0.00,210.00,
,0.00,0.00,3.00,0.00,0.00,0.00,4.00,
,0.00,0.00,15.00,21.00,0.00,0.00,59.00,
,12.00,0.00,0.00,24.00,0.00,0.00,0.00,
,0.00,0.00,0.00,90.00,0.00,0.00,90.00,
,0.00,30.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,0.00,0.00,60.00,0.00,0.00,
,42.00,28.00,84.00,146.00,140.00,58.00,160.00,
,910.00,796.00,820.00,944.00,766.00,"1,075.00",262.00,
,45.00,0.00,55.00,70.00,128.00,145.00,270.00,
,3.00,120.00,12.00,0.00,120.00,0.00,29.00,
,867.00,693.00,755.00,708.00,732.00,581.00,270.00,
,0.00,0.00,0.00,1.00,0.00,0.00,1.00,
,0.00,8.00,0.00,8.00,0.00,8.00,12.00,
,734.00,396.00,955.00,612.00,653.00,268.00,568.00,
,295.00,309.00,163.00,243.00,390.00,261.00,346.00,
,0.00,0.00,0.00,7.00,0.00,0.00,23.00,
,141.00,187.00,297.00,222.00,105.00,180.00,233.00,
,1.00,0.00,0.00,0.00,3.00,9.00,7.00,
,2.00,11.00,0.00,2.00,0.00,0.00,3.00,
,0.00,28.00,0.00,0.00,0.00,0.00,243.00,
,600.00,285.00,451.00,470.00,594.00,563.00,108.00,
,0.00,0.00,0.00,0.00,0.00,14.00,386.00,
,0.00,21.00,21.00,0.00,0.00,21.00,78.00,
,0.00,0.00,0.00,0.00,33.00,70.00,397.00,
,375.00,513.00,0.00,0.00,0.00,0.00,0.00,
,0.00,0.00,714.00,"1,091.00",983.00,"1,295.00",35.00,
,0.00,0.00,0.00,9.00,0.00,0.00,-9.00,
,90.00,0.00,0.00,0.00,0.00,60.00,120.00,
,0.00,0.00,0.00,0.00,0.00,0.00,39.00,
,0.00,0.00,0.00,30.00,30.00,0.00,80.00,
,54.00,30.00,21.00,10.00,0.00,0.00,377.00,
,498.00,576.00,372.00,390.00,236.00,208.00,299.00,
